account_key,account_number,customer_id,account_type,open_date,close_date,branch_id,branch_name,zone
1531,6774337,4252,Savings Account,17/10/2022,,1,Canary Wharf,Z1
1412,6381856,5726,Savings Account,10/12/2023,,4,London Bridge Gateway,Z1
1845,7903163,7335,Savings Account,10/08/2023,,2,Oxford Circus,Z1
210,2096458,1847,Current Account,10/10/2023,,6,Stratford City,Z2
2212,9087074,5412,Savings Account,04/09/2023,,1,Canary Wharf,Z1
1500,6675061,7955,Current Account,26/08/2020,,1,Canary Wharf,Z1
1381,6274967,4108,Savings Account,20/05/2023,,1,Canary Wharf,Z1
706,3801265,3229,Salary Account,21/06/2023,,1,Canary Wharf,Z1
2158,8905557,3606,Current Account,10/12/2023,,4,London Bridge Gateway,Z1
1902,8085444,7173,Savings Account,12/10/2023,,4,London Bridge Gateway,Z1
1017,5062027,1294,Savings Premium,22/10/2022,,4,London Bridge Gateway,Z1
485,3029198,5542,Savings Account,12/01/2021,,5,Islington High Street,Z1
1331,6121020,3721,Current Account,01/01/2024,,1,Canary Wharf,Z1
2308,9431943,4766,Current Account,28/05/2023,,3,Notting Hill Gate,Z2
557,3279208,7125,Savings Account,03/12/2020,,1,Canary Wharf,Z1
1175,5609422,7486,Savings Account,24/11/2022,,1,Canary Wharf,Z1
528,3165310,6771,Savings Account,14/04/2022,,1,Canary Wharf,Z1
1905,8092512,7450,Savings Account,15/10/2023,,3,Notting Hill Gate,Z2
66,1552216,7741,Savings Account,09/11/2023,,3,Notting Hill Gate,Z2
1328,6103449,2516,Savings Account,23/02/2023,,1,Canary Wharf,Z1
2137,8847082,3334,Current Account,04/09/2022,,1,Canary Wharf,Z1
1242,5822356,6293,Savings Account,14/04/2022,,2,Oxford Circus,Z1
411,2773198,2977,Current Account,10/10/2022,,1,Canary Wharf,Z1
2391,9742603,3902,Savings Account,21/04/2020,,3,Notting Hill Gate,Z2
1090,5294941,2791,Salary Account,18/10/2019,,5,Islington High Street,Z1
2042,8567624,6617,Savings Account,23/01/2020,,5,Islington High Street,Z1
1467,6553341,1460,Savings Account,31/03/2023,,6,Stratford City,Z2
1895,8063832,3864,Salary Account,18/05/2023,,6,Stratford City,Z2
2240,9176830,1931,Current Account,16/12/2021,,1,Canary Wharf,Z1
2279,9329499,7618,Salary Account,06/01/2021,,4,London Bridge Gateway,Z1
2381,9712954,4528,Current Account,12/01/2021,,4,London Bridge Gateway,Z1
242,2218238,1428,Current Account,06/06/2023,,1,Canary Wharf,Z1
2012,8458319,7684,Current Account,13/12/2022,,6,Stratford City,Z2
838,4329087,5293,Salary Account,27/06/2023,,4,London Bridge Gateway,Z1
872,4460157,4784,Savings Account,07/06/2023,,1,Canary Wharf,Z1
717,3826964,7577,Savings Account,11/04/2022,,1,Canary Wharf,Z1
1611,7037059,6471,Savings Account,15/03/2022,,4,London Bridge Gateway,Z1
1417,6406216,1121,Current Account,19/04/2022,,2,Oxford Circus,Z1
340,2534454,7625,Savings Account,14/08/2023,,6,Stratford City,Z2
1971,8312499,6552,Salary Account,25/03/2022,,1,Canary Wharf,Z1
1018,5067986,7671,Current Account,07/03/2022,,4,London Bridge Gateway,Z1
1124,5387062,5560,Current Account,11/08/2022,,6,Stratford City,Z2
1655,7225541,3029,Current Account,26/08/2018,,6,Stratford City,Z2
683,3733309,7791,Savings Account,09/08/2023,,3,Notting Hill Gate,Z2
522,3153636,6010,Savings Account,27/07/2022,,1,Canary Wharf,Z1
2183,8989939,6104,Current Account,23/06/2019,,1,Canary Wharf,Z1
388,2674904,1840,Salary Account,25/01/2021,,4,London Bridge Gateway,Z1
26,1363467,7072,Savings Account,15/09/2019,,6,Stratford City,Z2
1348,6186151,5089,Current Account,14/07/2023,,6,Stratford City,Z2
2268,9270482,5008,Current Account,05/02/2022,,5,Islington High Street,Z1
976,4919031,5119,Savings Account,23/09/2022,,1,Canary Wharf,Z1
1777,7620944,4011,Savings Account,04/12/2022,,2,Oxford Circus,Z1
1037,5140082,2079,Current Account,14/10/2022,,5,Islington High Street,Z1
579,3361155,1632,Savings Premium,07/12/2022,,3,Notting Hill Gate,Z2
2184,8991920,5910,Current Account,20/08/2019,,4,London Bridge Gateway,Z1
1038,5140849,3728,Current Account,05/11/2022,,6,Stratford City,Z2
194,2048436,6756,Savings Account,29/12/2021,,1,Canary Wharf,Z1
1279,5938378,2173,Current Account,27/02/2023,,1,Canary Wharf,Z1
621,3524729,1103,Savings Account,25/10/2021,,1,Canary Wharf,Z1
764,3995097,2954,Current Account,03/12/2023,,2,Oxford Circus,Z1
458,2927265,1886,Current Account,30/12/2023,,5,Islington High Street,Z1
2043,8574071,6406,Savings Account,19/12/2023,,6,Stratford City,Z2
1109,5340457,4727,Current Account,05/12/2023,,1,Canary Wharf,Z1
2369,9661547,6629,Savings Account,27/06/2023,,5,Islington High Street,Z1
1472,6581144,2848,Current Account,09/09/2023,,5,Islington High Street,Z1
1889,8047602,3361,Current Account,30/12/2023,,5,Islington High Street,Z1
950,4824602,5512,Current Account,11/10/2021,,6,Stratford City,Z2
1859,7939990,3594,Savings Account,07/04/2023,,4,London Bridge Gateway,Z1
1002,5006176,5599,Savings Account,23/03/2022,,6,Stratford City,Z2
1361,6227643,1625,Savings Premium,07/01/2020,,6,Stratford City,Z2
2343,9578988,7115,Current Account,03/11/2023,,2,Oxford Circus,Z1
431,2850378,5110,Savings Account,11/04/2023,,6,Stratford City,Z2
2222,9119965,1159,Current Account,20/11/2019,,6,Stratford City,Z2
1187,5669761,3647,Current Account,25/04/2022,,2,Oxford Circus,Z1
1118,5370404,4784,Savings Account,05/08/2022,,6,Stratford City,Z2
487,3030265,2310,Current Account,13/09/2021,,4,London Bridge Gateway,Z1
1931,8187666,6156,Current Account,25/02/2021,,1,Canary Wharf,Z1
811,4204945,1510,Current Account,17/06/2021,,1,Canary Wharf,Z1
1978,8333576,2836,Current Account,16/05/2019,,4,London Bridge Gateway,Z1
1519,6739400,4024,Salary Account,11/01/2022,,3,Notting Hill Gate,Z2
500,3069414,3883,Savings Account,26/06/2023,,2,Oxford Circus,Z1
1364,6241572,5144,Savings Account,27/10/2023,,6,Stratford City,Z2
1507,6690206,3732,Salary Account,05/08/2021,,6,Stratford City,Z2
1465,6547192,6641,Current Account,13/09/2021,,1,Canary Wharf,Z1
32,1389977,7811,Savings Account,08/10/2022,,1,Canary Wharf,Z1
2074,8653878,3704,Savings Account,18/06/2023,,4,London Bridge Gateway,Z1
229,2172983,3444,Savings Premium,04/08/2023,,1,Canary Wharf,Z1
1570,6897888,4724,Savings Account,02/01/2023,,5,Islington High Street,Z1
2133,8845379,3284,Salary Account,11/03/2020,,1,Canary Wharf,Z1
768,4004870,5011,Current Account,03/06/2023,,2,Oxford Circus,Z1
1758,7592885,3591,Current Account,24/09/2021,,6,Stratford City,Z2
912,4650296,3491,Current Account,31/12/2023,,6,Stratford City,Z2
498,3067730,3290,Salary Account,08/07/2023,,4,London Bridge Gateway,Z1
1246,5840774,5866,Current Account,10/09/2020,,6,Stratford City,Z2
1751,7559356,1690,Current Account,06/11/2022,,4,London Bridge Gateway,Z1
1438,6464231,1938,Current Account,19/12/2023,,4,London Bridge Gateway,Z1
459,2929022,7338,Savings Premium,29/05/2021,,1,Canary Wharf,Z1
372,2620491,6547,Salary Account,14/02/2023,,6,Stratford City,Z2
1602,7014735,2565,Current Account,31/07/2022,,4,London Bridge Gateway,Z1
896,4580815,7194,Savings Account,20/11/2022,,6,Stratford City,Z2
1710,7423534,3172,Savings Account,04/11/2023,,2,Oxford Circus,Z1
449,2899363,3776,Current Account,21/03/2023,,5,Islington High Street,Z1
2092,8715725,3639,Savings Account,02/04/2020,,1,Canary Wharf,Z1
181,1995293,3787,Savings Account,24/11/2023,,1,Canary Wharf,Z1
10,1285091,2840,Salary Account,22/12/2023,,1,Canary Wharf,Z1
546,3227818,1888,Savings Account,09/10/2023,,3,Notting Hill Gate,Z2
2124,8810334,1671,Current Account,28/05/2023,,3,Notting Hill Gate,Z2
2406,9776158,6904,Savings Account,13/11/2020,,2,Oxford Circus,Z1
687,3737956,5259,Savings Account,24/11/2023,,4,London Bridge Gateway,Z1
2358,9624415,4439,Current Account,21/09/2023,,4,London Bridge Gateway,Z1
856,4420457,6651,Current Account,16/05/2020,,1,Canary Wharf,Z1
1789,7657730,3983,Savings Account,17/12/2023,,2,Oxford Circus,Z1
1594,6987076,1004,Current Account,25/06/2020,,3,Notting Hill Gate,Z2
347,2557549,1563,Savings Account,03/08/2023,,5,Islington High Street,Z1
1267,5906573,3286,Current Account,13/03/2019,,2,Oxford Circus,Z1
2330,9522812,5312,Current Account,01/04/2020,,4,London Bridge Gateway,Z1
2103,8760986,3751,Savings Account,10/08/2022,,6,Stratford City,Z2
1769,7609841,2300,Savings Account,21/11/2023,,3,Notting Hill Gate,Z2
2285,9346242,1017,Savings Premium,09/05/2021,,1,Canary Wharf,Z1
729,3875399,4496,Current Account,30/11/2022,,2,Oxford Circus,Z1
1122,5383225,5392,Savings Account,19/09/2022,,1,Canary Wharf,Z1
21,1343531,4874,Current Account,14/11/2023,,5,Islington High Street,Z1
191,2024981,1668,Savings Account,19/06/2021,,3,Notting Hill Gate,Z2
1728,7489918,1539,Savings Account,18/02/2023,,4,London Bridge Gateway,Z1
718,3827474,4128,Savings Account,16/09/2023,,1,Canary Wharf,Z1
1093,5302270,2673,Salary Account,15/09/2020,,1,Canary Wharf,Z1
626,3540814,3253,Salary Account,02/05/2022,,4,London Bridge Gateway,Z1
38,1411462,7755,Current Account,22/03/2019,,3,Notting Hill Gate,Z2
353,2563687,6660,Savings Premium,11/03/2023,,1,Canary Wharf,Z1
2033,8542227,7739,Current Account,18/12/2023,,6,Stratford City,Z2
1039,5143569,5601,Current Account,12/12/2023,,1,Canary Wharf,Z1
864,4435329,7741,Savings Account,08/03/2023,,1,Canary Wharf,Z1
1094,5304538,4921,Savings Account,22/08/2020,,1,Canary Wharf,Z1
179,1994336,4997,Salary Account,19/06/2023,,1,Canary Wharf,Z1
914,4657438,2750,Salary Account,12/11/2023,,6,Stratford City,Z2
1307,6050853,6657,Savings Account,09/09/2021,,6,Stratford City,Z2
2044,8577441,4462,Savings Account,19/08/2023,,4,London Bridge Gateway,Z1
736,3887946,5215,Salary Account,12/11/2023,,2,Oxford Circus,Z1
1559,6855573,7854,Savings Account,11/11/2023,,6,Stratford City,Z2
1474,6584816,2955,Current Account,24/10/2023,,2,Oxford Circus,Z1
577,3353118,5351,Current Account,16/02/2022,,6,Stratford City,Z2
433,2856546,7128,Current Account,17/01/2019,,3,Notting Hill Gate,Z2
863,4432411,5045,Salary Account,01/07/2021,,1,Canary Wharf,Z1
1302,6034644,6711,Savings Account,24/06/2023,,1,Canary Wharf,Z1
481,3019777,3176,Savings Account,08/02/2023,,1,Canary Wharf,Z1
2036,8547436,7586,Current Account,05/11/2023,,1,Canary Wharf,Z1
1252,5850816,4348,Savings Account,20/05/2022,,6,Stratford City,Z2
476,2989394,4009,Salary Account,23/08/2021,,2,Oxford Circus,Z1
756,3960701,1021,Current Account,07/08/2022,,1,Canary Wharf,Z1
655,3631487,2818,Current Account,07/01/2021,,1,Canary Wharf,Z1
54,1497199,2737,Savings Account,15/08/2022,,5,Islington High Street,Z1
1648,7178626,1244,Salary Account,19/10/2023,,1,Canary Wharf,Z1
2208,9069873,6598,Savings Account,25/12/2021,,6,Stratford City,Z2
1286,5982430,1466,Current Account,08/08/2020,,6,Stratford City,Z2
41,1433326,7506,Savings Account,10/06/2022,,6,Stratford City,Z2
2372,9670929,5409,Current Account,17/04/2021,,6,Stratford City,Z2
1654,7223532,3676,Savings Account,09/12/2023,,1,Canary Wharf,Z1
988,4952270,6749,Savings Account,04/06/2023,,3,Notting Hill Gate,Z2
1608,7028856,4365,Salary Account,17/10/2023,,4,London Bridge Gateway,Z1
119,1766922,6410,Current Account,15/11/2019,,2,Oxford Circus,Z1
1688,7345122,1443,Savings Account,04/03/2020,,3,Notting Hill Gate,Z2
1746,7545994,2960,Salary Account,16/12/2021,,6,Stratford City,Z2
827,4268591,3265,Current Account,19/08/2019,,6,Stratford City,Z2
714,3822431,4846,Salary Account,13/12/2022,,2,Oxford Circus,Z1
766,3996987,7327,Current Account,07/03/2023,,6,Stratford City,Z2
1622,7089896,7657,Savings Account,14/05/2022,,1,Canary Wharf,Z1
693,3765528,4473,Savings Account,04/11/2023,,1,Canary Wharf,Z1
1621,7086446,5015,Current Account,06/10/2022,,1,Canary Wharf,Z1
1567,6884468,2162,Savings Account,26/02/2021,,1,Canary Wharf,Z1
1201,5688286,7121,Current Account,12/12/2022,,3,Notting Hill Gate,Z2
2198,9035707,6574,Current Account,12/05/2019,,4,London Bridge Gateway,Z1
22,1345436,3875,Savings Account,26/07/2020,,1,Canary Wharf,Z1
2111,8779779,7719,Current Account,25/10/2023,,6,Stratford City,Z2
1258,5873393,4969,Current Account,25/12/2023,,5,Islington High Street,Z1
389,2680955,7427,Current Account,11/12/2022,,1,Canary Wharf,Z1
951,4828056,2875,Current Account,07/11/2023,,1,Canary Wharf,Z1
1066,5234851,6700,Current Account,02/02/2022,,3,Notting Hill Gate,Z2
446,2895807,6587,Savings Account,07/11/2022,,1,Canary Wharf,Z1
642,3579635,4343,Salary Account,17/02/2023,,1,Canary Wharf,Z1
1323,6089624,3423,Savings Account,13/12/2021,,6,Stratford City,Z2
2342,9577428,3971,Current Account,21/09/2021,,1,Canary Wharf,Z1
515,3137851,6925,Current Account,09/01/2020,,1,Canary Wharf,Z1
1347,6185631,1115,Current Account,27/06/2022,,1,Canary Wharf,Z1
2126,8817892,5897,Current Account,02/07/2023,,1,Canary Wharf,Z1
925,4712044,6830,Savings Account,28/08/2021,,1,Canary Wharf,Z1
1996,8401736,5959,Savings Account,08/12/2019,,5,Islington High Street,Z1
337,2525026,4183,Current Account,03/11/2023,,6,Stratford City,Z2
1630,7124976,7294,Current Account,28/12/2022,,1,Canary Wharf,Z1
470,2967467,2034,Savings Account,08/05/2023,,1,Canary Wharf,Z1
1058,5206274,5312,Current Account,28/09/2019,,4,London Bridge Gateway,Z1
1994,8394021,4523,Savings Account,02/02/2020,,1,Canary Wharf,Z1
1154,5484399,5239,Current Account,15/10/2023,,3,Notting Hill Gate,Z2
146,1884191,5598,Savings Account,31/01/2021,,1,Canary Wharf,Z1
96,1681565,7972,Savings Account,04/08/2021,,6,Stratford City,Z2
1129,5398055,2476,Savings Account,07/08/2023,,1,Canary Wharf,Z1
1723,7460147,7390,Savings Account,15/06/2021,,1,Canary Wharf,Z1
2227,9131368,2489,Current Account,14/09/2022,,4,London Bridge Gateway,Z1
2140,8863088,5624,Savings Account,27/01/2022,,1,Canary Wharf,Z1
1597,6996429,5168,Current Account,25/02/2023,,4,London Bridge Gateway,Z1
1961,8272874,1564,Savings Account,25/11/2020,,1,Canary Wharf,Z1
1182,5629380,2439,Savings Account,06/12/2021,,2,Oxford Circus,Z1
401,2749423,5668,Savings Account,24/12/2021,,6,Stratford City,Z2
2416,9830244,6640,Savings Account,06/09/2022,,1,Canary Wharf,Z1
364,2597193,4741,Current Account,06/01/2023,,6,Stratford City,Z2
2088,8702226,7710,Current Account,10/11/2023,,1,Canary Wharf,Z1
2102,8760783,2993,Current Account,24/11/2023,,3,Notting Hill Gate,Z2
1696,7371230,7172,Current Account,18/11/2023,,4,London Bridge Gateway,Z1
202,2082427,7562,Savings Account,25/12/2023,,1,Canary Wharf,Z1
2352,9607068,1268,Savings Account,29/05/2023,,6,Stratford City,Z2
440,2873395,6617,Salary Account,20/07/2023,,6,Stratford City,Z2
1189,5671501,7309,Current Account,30/10/2021,,4,London Bridge Gateway,Z1
623,3533588,1064,Current Account,01/05/2021,,1,Canary Wharf,Z1
1180,5622775,7681,Current Account,19/05/2022,,4,London Bridge Gateway,Z1
853,4399561,6447,Savings Account,02/11/2022,,1,Canary Wharf,Z1
661,3653026,6543,Current Account,05/01/2022,,2,Oxford Circus,Z1
1823,7827183,7139,Savings Account,26/09/2022,,2,Oxford Circus,Z1
145,1877120,2907,Current Account,21/10/2023,,3,Notting Hill Gate,Z2
1797,7685045,6845,Current Account,09/01/2023,,1,Canary Wharf,Z1
1706,7408837,2274,Savings Account,12/10/2022,,4,London Bridge Gateway,Z1
790,4129558,4105,Savings Account,18/04/2022,,4,London Bridge Gateway,Z1
369,2608658,1763,Current Account,21/04/2019,,1,Canary Wharf,Z1
765,3996652,7033,Savings Account,04/09/2022,,1,Canary Wharf,Z1
2276,9310354,5320,Current Account,25/06/2021,,6,Stratford City,Z2
785,4095217,4966,Current Account,31/03/2022,,5,Islington High Street,Z1
2010,8452047,4960,Current Account,21/08/2023,,6,Stratford City,Z2
680,3723128,3783,Savings Account,08/05/2023,,6,Stratford City,Z2
322,2479212,5508,Current Account,09/05/2023,,6,Stratford City,Z2
989,4959060,4789,Savings Account,23/09/2023,,2,Oxford Circus,Z1
699,3791051,5881,Current Account,31/10/2023,,4,London Bridge Gateway,Z1
1542,6797769,4432,Current Account,02/08/2022,,1,Canary Wharf,Z1
280,2363454,1740,Current Account,13/07/2022,,4,London Bridge Gateway,Z1
390,2688462,3865,Current Account,27/09/2021,,6,Stratford City,Z2
2327,9514321,3335,Savings Account,01/12/2023,,4,London Bridge Gateway,Z1
707,3801673,4606,Current Account,18/09/2022,,4,London Bridge Gateway,Z1
1687,7339694,5222,Salary Account,04/01/2020,,1,Canary Wharf,Z1
1176,5609563,7462,Savings Premium,13/05/2022,,5,Islington High Street,Z1
1578,6922590,1884,Savings Account,15/10/2023,,5,Islington High Street,Z1
190,2021084,1774,Current Account,23/09/2022,,1,Canary Wharf,Z1
1799,7689824,7905,Savings Account,04/06/2022,,1,Canary Wharf,Z1
1882,8029814,4342,Current Account,08/10/2023,,4,London Bridge Gateway,Z1
599,3439224,7415,Current Account,23/04/2023,,4,London Bridge Gateway,Z1
1546,6807647,6730,Current Account,23/12/2023,,5,Islington High Street,Z1
1450,6497386,6134,Savings Account,09/02/2023,,1,Canary Wharf,Z1
2411,9797177,4574,Current Account,16/11/2023,,3,Notting Hill Gate,Z2
2373,9671154,3401,Current Account,22/12/2023,,5,Islington High Street,Z1
1478,6591740,2253,Salary Account,28/10/2023,,1,Canary Wharf,Z1
1518,6737532,5734,Savings Account,04/03/2021,,2,Oxford Circus,Z1
1528,6765793,4699,Savings Account,04/10/2023,,5,Islington High Street,Z1
